question_id,learning_path_id
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
31,10
31,12
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
39,10
39,12
40,2
41,2
42,2
43,2
44,2
45,9
45,6
46,9
46,6
47,9
47,6
48,9
48,6
49,9
49,6
50,9
50,6
51,9
51,6
52,9
52,6
53,9
53,6
54,9
54,6
55,9
55,6
56,9
57,6
57,9
58,6
58,9
59,6
59,9
60,6
60,9
61,6
61,9
62,6
62,9
63,6
63,9
64,6
64,9
65,6
65,9
66,9
66,6
66,3
66,4
67,6
67,3
67,4
68,9
68,6
68,11
69,9
69,6
70,9
70,6
70,11
71,9
71,6
72,1
72,3
72,4
73,9
73,6
73,3
73,4
74,9
74,6
75,9
75,6
75,11
76,9
76,6
76,11
77,9
77,6
78,9
78,6
79,9
79,6
79,3
79,4
80,9
80,6
81,6
81,3
81,4
82,3
82,4
82,5
83,9
83,6
83,11
84,6
84,3
84,4
85,6
85,3
85,4
86,6
86,3
86,4
87,3
87,4
87,5
88,6
88,3
88,4
89,9
89,6
89,11
90,9
90,6
90,11
91,1
91,5
92,1
92,5
93,1
93,3
93,4
94,1
94,3
94,4
95,1
95,5
96,1
96,5
97,1
97,5
98,1
98,5
99,1
99,5
100,1
100,5
101,1
101,3
101,4
102,1
102,3
102,4
103,1
103,5
104,1
104,5
105,1
105,3
105,4
106,1
106,5
107,1
107,3
107,4
108,1
108,5
109,1
109,5
110,1
110,3
110,4
111,1
111,5
112,1
112,3
112,4
113,1
113,5
114,5
114,9
115,1
115,3
115,4
116,1
116,5
117,1
117,5
118,1
118,5
119,1
119,5
120,1
120,5
121,1
121,3
121,4
122,1
122,5
123,1
123,5
124,1
124,5
125,1
125,3
125,4
126,1
126,5
127,1
127,3
127,4
128,1
128,3
128,4
129,1
129,5
130,1
130,3
130,4
131,5
131,9
132,1
132,5
133,1
133,5
134,5
134,9
135,1
135,5
136,10
137,10
138,10
139,10
140,10
141,10
142,10
143,10
144,10
145,10
146,10
147,10
148,10
149,10
150,10
151,10
152,10
153,10
154,10
155,10
156,10
157,10
158,10
159,10
160,3
160,4
160,10
161,10
162,10
162,12
163,10
164,10
165,10
166,10
166,12
167,6
168,10
169,3
169,4
169,10
170,10
171,10
172,3
172,4
172,10
173,3
173,4
173,10
174,3
174,4
174,10
175,10
176,10
177,3
177,4
177,10
178,6
179,10
180,10
181,1
181,5
182,1
182,5
183,1
183,4
183,5
184,1
184,4
184,5
185,1
185,4
185,5
186,1
186,4
186,5
187,1
187,4
187,5
188,1
188,5
189,1
189,5
190,1
190,5
191,1
191,5
192,1
192,5
193,1
193,5
194,1
194,5
195,1
195,5
196,1
196,5
197,1
197,5
198,1
198,5
199,1
199,5
200,1
200,5
201,1
201,5
202,1
202,5
203,1
203,5
204,1
204,5
205,1
205,5
206,1
206,5
207,1
207,5
208,1
208,5
209,1
209,5
210,1
210,5
211,1
211,5
212,1
212,5
213,1
213,5
214,1
214,3
214,7
214,13
215,1
215,5
216,1
216,5
217,1
217,5
218,1
218,8
219,1
219,8
220,1
220,8
221,1
221,8
222,1
222,8
223,1
223,8
224,1
224,8
225,1
225,8
226,1
226,8
227,12
228,12
229,12
230,12
231,12
232,12
233,12
234,12
235,12
236,12
237,12
238,12
239,12
240,12
241,12
242,12
243,12
244,12
245,12
246,12
247,12
248,12
249,12
250,12
251,12
252,12
253,12
254,12
255,12
256,12
257,12
258,12
259,12
260,12
261,12
262,12
263,12
264,12
265,12
266,12
267,12
268,12
269,12
270,12
271,12
272,12
273,7
274,7
275,7
276,7
277,7
278,3
278,7
279,3
279,7
280,7
281,7
282,7
283,7
284,7
285,7
286,3
286,7
287,7
288,7
289,3
289,7
290,3
290,7
291,7
292,7
293,3
293,7
294,7
294,13
295,7
295,13
296,7
296,13
297,7
297,13
298,7
298,13
299,7
299,13
300,7
300,13
301,7
301,13
302,13
303,3
303,4
303,7
304,7
304,13
305,3
305,7
306,7
306,13
307,3
307,4
307,7
308,3
308,7
309,7
309,13
310,7
310,13
311,3
311,4
311,7
312,7
312,12
312,13
313,7
313,12
313,13
314,7
314,13
315,3
315,4
315,6
316,7
316,13
317,7
317,13
318,3
318,4
318,6
319,6
319,3
319,4
320,3
320,4
320,6
321,7
321,13
322,7
322,13
323,7
324,7
324,12
324,13